Date of Entry,Transaction ID,Transaction Timestamp,Transaction Buyer,Transaction Seller,Transaction Amount
2026-07-13,e63f0350-24dc-4d20-8247-c91f246533e8,2026-07-12 23:07:55,96752145,REWARD_POOL_SYSTEM_WALLET,0.07
2026-07-13,5ce29f97-d13c-4228-ba50-47b7e3e0038e,2026-07-12 17:11:55,56706941,REWARD_POOL_SYSTEM_WALLET,0.07
2026-07-13,a8a9a731-a3c8-4a82-8208-0e7c72bb4638,2026-07-12 18:31:55,46677991,REWARD_POOL_SYSTEM_WALLET,0.35
2026-07-13,5acbbe7f-e2ab-4c17-a7dc-85d256f707a1,2026-07-12 22:05:55,96510566,REWARD_POOL_SYSTEM_WALLET,0.35
2026-07-13,d5d58cda-304a-4bec-b075-f607bd035569,2026-07-13 1:00:55,86677871,REWARD_POOL_SYSTEM_WALLET,0.07
2026-07-13,211c03b0-f5b1-4e32-8eed-7dc52a4c5b50,2026-07-12 21:54:55,66215287,REWARD_POOL_SYSTEM_WALLET,0.28
2026-07-13,fc081387-bc14-4a75-88a7-4f18e447cac5,2026-07-12 16:21:55,86291818,REWARD_POOL_SYSTEM_WALLET,0.21
2026-07-13,34519962-d816-4967-9605-98d9701cae87,2026-07-13 0:13:55,58140632,REWARD_POOL_SYSTEM_WALLET,0.28
2026-07-13,b1509a5e-63cb-4bcf-af9c-bda36e1f1c3f,2026-07-12 22:13:55,72330112,REWARD_POOL_SYSTEM_WALLET,0.07
2026-07-13,301f6e05-c1f0-46c5-8e5e-c645beaa0a53,2026-07-13 2:22:55,32954647,REWARD_POOL_SYSTEM_WALLET,0.07
2026-07-13,2f1ef946-c88e-4da4-a4fc-ed81dba7de27,2026-07-12 19:04:55,49602739,REWARD_POOL_SYSTEM_WALLET,0.21
2026-07-13,f9d05ca6-fd48-4477-9e40-d5eb52c2bb57,2026-07-13 2:45:55,46311981,REWARD_POOL_SYSTEM_WALLET,0.21
2026-07-13,06288445-af2a-445e-a658-44a266c5c29c,2026-07-12 17:09:55,90106382,REWARD_POOL_SYSTEM_WALLET,0.14
2026-07-13,afddfed9-ab0f-42cd-8221-48d857d33711,2026-07-13 3:15:55,46581348,REWARD_POOL_SYSTEM_WALLET,0.14
2026-07-13,bed1ce7d-2a68-45df-827b-fdefab273292,2026-07-12 22:38:55,42444700,REWARD_POOL_SYSTEM_WALLET,0.14
2026-07-13,b0949e36-5332-417f-9ee3-a8583177bbce,2026-07-13 4:07:55,65876115,REWARD_POOL_SYSTEM_WALLET,0.35
2026-07-13,15e126f4-1a52-439b-93e0-27f6c1385343,2026-07-12 20:06:55,22781813,REWARD_POOL_SYSTEM_WALLET,0.21
2026-07-13,55ac6cb8-5442-41d2-8312-5c88986558ba,2026-07-13 0:23:55,57160938,REWARD_POOL_SYSTEM_WALLET,0.21
2026-07-13,6459d3c7-f823-4d66-9e4e-1acd48d69cb5,2026-07-12 19:33:55,37552279,REWARD_POOL_SYSTEM_WALLET,0.28
2026-07-13,fdfbad31-9e29-4a26-ac63-46e8e0e2114e,2026-07-12 18:05:55,97698986,REWARD_POOL_SYSTEM_WALLET,0.14
2026-07-13,b5984e98-67fc-4132-bd75-96b2f03f5efd,2026-07-13 2:09:55,35206263,REWARD_POOL_SYSTEM_WALLET,0.07
2026-07-13,421549d1-857a-43a0-9f5a-3210be266c12,2026-07-12 23:04:55,57506996,REWARD_POOL_SYSTEM_WALLET,0.35
2026-07-13,a10281fd-85a8-4517-aa2b-9de360d6e458,2026-07-13 3:55:55,61868130,REWARD_POOL_SYSTEM_WALLET,0.14
2026-07-13,f56e2f4c-c696-4a5c-8cc4-4dc28d787022,2026-07-12 19:13:55,28094887,REWARD_POOL_SYSTEM_WALLET,0.28
2026-07-13,b9d7314f-cf19-4bc9-bc01-8bfbc3dc9b0e,2026-07-12 22:17:55,48725358,REWARD_POOL_SYSTEM_WALLET,0.28
2026-07-13,2ab6e64b-426c-49c8-8126-d7f1bf0cb8b0,2026-07-13 2:55:55,44162947,REWARD_POOL_SYSTEM_WALLET,0.21
2026-07-13,e569dd5c-e239-4704-83c4-affd35c80376,2026-07-12 23:57:55,79568029,REWARD_POOL_SYSTEM_WALLET,0.35
